c,run,jfi,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9
13,1,0.971305722584008,0.3708760200006509,0.5514857590005704,0.551511923000362,0.5765279179995559,0.5813489880001725,0.5813771360008104,0.6103189420009585,0.6103485179992276,0.6255707580003218,0.6256063210003049
13,2,0.9677278880545486,0.3540947210003651,0.5080206540005747,0.5512699200007773,0.5513063460002741,0.5955223019991536,0.5955438250002771,0.5955537970003206,0.5955626060003851,0.5955712260001746,0.5955799809999007
13,3,0.9796289797557813,0.3999459549995663,0.5556654829997569,0.5573349949991098,0.5573753930002567,0.5877734539990342,0.6077543579995108,0.6077833469989855,0.6077983790000872,0.6089551170007326,0.6462026850003895
13,4,0.998165256902195,0.817453078001563,0.8336905500000285,0.9100541820007493,0.9100858990004781,0.9101012549999723,0.9101153780011373,0.9101290670005255,0.9220648350001284,0.9220925380013796,0.922104687000683
13,5,0.9856409398269063,0.4454747559993848,0.5900961860006646,0.6286827349995292,0.6287135259990464,0.6287290370000846,0.6287446589994943,0.6394578409999667,0.6394828259999485,0.6394943010000134,0.6395057219997398
13,6,0.9926887668843357,0.44703678199948627,0.5408513540005515,0.5408835889993497,0.5694413799992617,0.5694766569995409,0.5833283459996892,0.5833585069995024,0.5833754079994833,0.5833884679996117,0.5877917249999882
13,7,0.9871368902589892,0.4433720010001707,0.5628709270004038,0.5903530939995107,0.5903878509998322,0.6019292740002129,0.6121523000001616,0.6329794619996392,0.633004114999494,0.6330165069994109,0.6330267849989468
13,8,0.9947570988511879,0.5663432239998656,0.639670897000542,0.6536046549990715,0.6872889669994038,0.6884728770000947,0.6979071189998649,0.6979339859990432,0.697945455000081,0.7181831819998479,0.7231221580004785
13,9,0.9969963853985385,0.5136430250004196,0.5604182999995828,0.5900319600004877,0.5900585729996237,0.5900726529998792,0.5917862309997872,0.5918099410009745,0.5918216810005106,0.6037827990003279,0.639880833999996
17,0,0.986560737621137,0.4376284730005864,0.5588246639999852,0.6144048170008318,0.6144363879993762,0.6144515209998644,0.614467223000247,0.6172135540000454,0.617236561000027,0.6172475399998802,0.6177630510010204
17,1,0.9580449701785555,0.5081517340004211,0.8619002049999835,0.8799746420008887,0.8938556960001733,0.8938767660001758,0.8938864060000924,0.8938971510015108,0.8939067300016177,0.8939166020008997,0.8939262210005836
